internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb
BLACKGUARDS2,Blackguards 2,/game/pc/blackguards-2,s%2FDtJEgWEsD7QtbRKj2Qpw0ueH1rrwUvTmmvf9VHl2Y%3D,1,140070,0.99,9.99,1,90.090090,74,Mixed,63,740,314830,1421712000,1665108138,9.1,https://cdn.cloudflare.steamstatic.com/steam/apps/314830/capsule_sm_120.jpg?t=1642456042
DEPONIADOOMSDAY,Deponia Doomsday,/game/pc/deponia-doomsday,JlkkbcPiJJv%2FUZQ6ZbaF7VnOMSbQntUcmjH39fS8b90%3D,1,150170,1.99,19.99,1,90.045023,76,Very Positive,85,2258,421050,1456790400,1665076093,9.0,https://cdn.cloudflare.steamstatic.com/steam/apps/421050/capsule_sm_120.jpg?t=1646937502
SYBERIA,Syberia,/game/pc/syberia,i914qfpEQXAoHDprl4sg4JPGnAI%2BiIGPGx8kqWlFnyk%3D,1,280,1.29,12.99,1,90.069284,82,Very Positive,89,2871,46500,1030838400,1664823681,9.0,https://cdn.cloudflare.steamstatic.com/steam/apps/46500/capsule_sm_120.jpg?t=1662123450
DEPONIA,Deponia,/game/pc/deponia,y3VsrxQi7K11NXwwKjG1Md0hTFYuNERBjvkaFlaLieQ%3D,1,88328,0.99,9.99,1,90.090090,74,Very Positive,87,8333,214340,1344211200,1665076175,9.0,https://cdn.cloudflare.steamstatic.com/steam/apps/214340/capsule_sm_120.jpg?t=1646937169
EDNAANDHARVEYHARVEYSNEWEYES,Edna and Harvey: Harvey's New Eyes,/game/pc/edna-harvey-harveys-new-eyes,MP20gFP2%2B1pizYvVNhA%2FEPIi4mkjnyIe3hRN6yfhLmk%3D,1,93463,1.99,19.99,1,90.045023,75,Very Positive,89,2082,219910,1350345600,1665077390,9.0,https://cdn.cloudflare.steamstatic.com/steam/apps/219910/capsule_sm_120.jpg?t=1646937884
THENIGHTOFTHERABBIT,The Night of the Rabbit,/game/pc/the-night-of-the-rabbit,o9Rx7JRHuFZuU59Iias%2BcEDCPAdM94bFsX1flJqGg58%3D,1,97671,1.99,19.99,1,90.045023,75,Very Positive,90,2224,230820,1369699200,1665077517,9.0,https://cdn.cloudflare.steamstatic.com/steam/apps/230820/capsule_sm_120.jpg?t=1578499642
THEDARKEYECHAINSOFSATINAV,The Dark Eye: Chains of Satinav,/game/pc/the-dark-eye-chains-of-satinav,BhEhC%2FmWGE9fbNlw%2BKFoheqDFgJf3VcwzTkgQtrQ8e0%3D,1,87946,1.99,19.99,1,90.045023,75,Very Positive,86,1675,203830,1340323200,1665077782,9.0,https://cdn.cloudflare.steamstatic.com/steam/apps/203830/capsule_sm_120.jpg?t=1594031520
BAYONETTA,Bayonetta,/game/pc/bayonetta,f7xMPsxHRp%2FuOS9yhvVZF9JevOvXC5dErqAbdraUHCI%3D,1,168082,4.99,19.99,1,75.037519,90,Very Positive,92,18511,460790,1491868800,1665100838,9.0,https://cdn.cloudflare.steamstatic.com/steam/apps/460790/capsule_sm_120.jpg?t=1656930161
ANNASQUEST,Anna's Quest,/game/pc/annas-quest,zgFQUGdIa5iYwlAKHRBIa63IGK1gq8Yb%2FwNa14gNIZM%3D,1,144487,1.99,19.99,1,90.045023,74,Very Positive,88,1322,327220,1435795200,1665077408,8.9,https://cdn.cloudflare.steamstatic.com/steam/apps/327220/capsule_sm_120.jpg?t=1597139612
ANEWBEGINNINGFINALCUT,A New Beginning - Final Cut,/game/pc/a-new-beginning---final-cut,98kuMF4TLi%2FYG37uRJUbdVzEjBu%2Bc2e63tgRDem8H50%3D,1,94063,0.99,9.99,1,90.090090,72,Mostly Positive,74,1258,105000,1355184000,1665081700,8.9,https://cdn.cloudflare.steamstatic.com/steam/apps/105000/capsule_sm_120.jpg?t=1562662836
